t_ms,ax,ay,az,gx,gy,gz
7044742,-0.0267333984375,-0.0062255859375,1.0008544921875,2.01416015625,2.38037109375,3.23486328125
7044750,-0.021728515625,-0.006103515625,1.015869140625,2.13623046875,2.38037109375,3.0517578125
7044759,-0.02099609375,-0.0042724609375,0.9974365234375,1.77001953125,2.50244140625,3.23486328125
7044767,-0.0111083984375,-0.0067138671875,0.9974365234375,1.89208984375,2.25830078125,3.23486328125
7044776,-0.0064697265625,-0.0101318359375,1.0032958984375,1.953125,2.38037109375,3.173828125
7044784,-0.010009765625,-0.0091552734375,0.9971923828125,1.89208984375,2.13623046875,3.11279296875
7044793,-0.01123046875,-0.01025390625,0.997314453125,1.953125,2.197265625,2.99072265625
7044801,-0.010986328125,-0.0076904296875,1.0035400390625,2.0751953125,2.25830078125,2.99072265625
7044810,-0.0234375,-0.0079345703125,0.99658203125,1.8310546875,2.13623046875,2.9296875
7044820,-0.0240478515625,-0.0078125,0.9989013671875,2.0751953125,2.25830078125,3.11279296875
7044827,-0.0242919921875,-0.00634765625,1.005126953125,2.13623046875,2.197265625,3.0517578125
7044836,-0.031982421875,-0.007080078125,0.99560546875,1.953125,2.197265625,3.0517578125
7044844,-0.0264892578125,-0.013916015625,0.9964599609375,1.953125,2.0751953125,3.11279296875
7044852,-0.022216796875,-0.0130615234375,0.997802734375,2.01416015625,2.01416015625,3.0517578125
7044861,-0.0208740234375,-0.0159912109375,0.9967041015625,1.89208984375,2.25830078125,3.0517578125
7044870,-0.0186767578125,-0.011962890625,0.9959716796875,2.0751953125,2.01416015625,3.173828125
7044878,-0.0152587890625,-0.0081787109375,1.0013427734375,1.953125,2.01416015625,3.0517578125
7044887,-0.0152587890625,-0.005859375,0.999755859375,1.708984375,2.13623046875,3.11279296875
7044895,-0.017578125,-0.00439453125,0.998046875,1.77001953125,2.13623046875,3.11279296875
7044904,-0.0108642578125,-0.0089111328125,1.0020751953125,1.953125,2.13623046875,3.11279296875
7044912,-0.011962890625,-0.0089111328125,0.9952392578125,2.0751953125,2.13623046875,3.11279296875
7044921,-0.0162353515625,-0.01513671875,0.9990234375,2.13623046875,2.197265625,3.11279296875
7044930,-0.0140380859375,-0.01611328125,0.996337890625,2.01416015625,2.13623046875,3.173828125
