t_ms,ax,ay,az,gx,gy,gz
72658,-0.025390625,-0.0645751953125,0.98486328125,1.89208984375,2.0751953125,2.86865234375
72667,-0.0322265625,-0.070068359375,0.98974609375,2.25830078125,1.953125,2.8076171875
72675,-0.029052734375,-0.0701904296875,0.9984130859375,1.953125,2.50244140625,2.86865234375
72684,-0.023681640625,-0.0628662109375,1.00048828125,1.3427734375,2.685546875,2.9296875
72692,-0.0286865234375,-0.064697265625,0.9984130859375,1.89208984375,2.01416015625,2.86865234375
72700,-0.0313720703125,-0.07275390625,0.999267578125,2.44140625,1.77001953125,2.86865234375
72709,-0.0303955078125,-0.0648193359375,0.9886474609375,2.01416015625,2.01416015625,2.86865234375
72718,-0.0279541015625,-0.06201171875,0.9906005859375,1.708984375,2.197265625,2.8076171875
72728,-0.0303955078125,-0.0665283203125,0.99951171875,2.01416015625,2.3193359375,2.86865234375
72735,-0.0294189453125,-0.067626953125,1.00048828125,1.77001953125,2.3193359375,2.8076171875
72744,-0.028076171875,-0.0648193359375,0.99609375,1.77001953125,2.25830078125,2.8076171875
72752,-0.03125,-0.0687255859375,0.99658203125,2.197265625,1.953125,2.8076171875
72760,-0.03125,-0.0687255859375,0.9935302734375,2.13623046875,2.0751953125,2.8076171875
72769,-0.0302734375,-0.0631103515625,0.990478515625,1.8310546875,2.25830078125,2.86865234375
72778,-0.029541015625,-0.0673828125,0.997802734375,1.953125,2.25830078125,2.9296875
72786,-0.030029296875,-0.0667724609375,1.0003662109375,1.89208984375,2.25830078125,2.8076171875
72795,-0.0272216796875,-0.0626220703125,0.9974365234375,1.52587890625,2.38037109375,2.9296875
72803,-0.027099609375,-0.06396484375,0.9942626953125,2.01416015625,2.197265625,2.86865234375
72812,-0.0302734375,-0.0684814453125,0.992919921875,2.38037109375,1.77001953125,2.8076171875
72820,-0.030029296875,-0.0677490234375,0.9940185546875,2.3193359375,2.0751953125,2.86865234375
72829,-0.0286865234375,-0.06640625,0.998291015625,1.89208984375,2.50244140625,2.86865234375
72837,-0.030029296875,-0.066650390625,1.00048828125,1.953125,2.50244140625,2.86865234375
72846,-0.030029296875,-0.066650390625,0.99755859375,1.953125,2.25830078125,2.86865234375
72856,-0.030517578125,-0.0673828125,0.992919921875,2.0751953125,2.01416015625,2.9296875
72863,-0.030029296875,-0.0665283203125,0.99462890625,2.0751953125,1.953125,2.8076171875
72872,-0.0281982421875,-0.0655517578125,0.9964599609375,1.953125,2.38037109375,2.9296875
72880,-0.0302734375,-0.064208984375,0.999267578125,1.8310546875,2.197265625,3.11279296875
72889,-0.02734375,-0.0682373046875,1.0001220703125,1.8310546875,2.38037109375,2.99072265625
72897,-0.030517578125,-0.064208984375,0.99365234375,2.0751953125,2.197265625,2.8076171875
72906,-0.029052734375,-0.0675048828125,0.9932861328125,2.38037109375,2.01416015625,2.8076171875
72914,-0.0299072265625,-0.066162109375,0.992919921875,2.25830078125,2.13623046875,2.8076171875
72923,-0.0284423828125,-0.0657958984375,0.996826171875,1.8310546875,2.25830078125,2.9296875
72931,-0.0283203125,-0.0657958984375,0.9991455078125,1.8310546875,2.44140625,2.86865234375
72940,-0.0299072265625,-0.068359375,0.9986572265625,2.01416015625,2.13623046875,2.86865234375
72948,-0.0289306640625,-0.068603515625,0.9945068359375,2.01416015625,2.197265625,2.86865234375
72957,-0.0291748046875,-0.0673828125,0.99267578125,2.0751953125,1.953125,2.86865234375
72965,-0.0311279296875,-0.0679931640625,0.995361328125,2.25830078125,2.0751953125,3.0517578125
72974,-0.029541015625,-0.0672607421875,0.9970703125,1.953125,2.44140625,2.9296875
72984,-0.029296875,-0.064697265625,0.998779296875,1.8310546875,2.50244140625,3.0517578125
72991,-0.0284423828125,-0.06640625,0.9967041015625,1.953125,2.3193359375,2.8076171875
73000,-0.02734375,-0.06396484375,0.994384765625,2.0751953125,2.197265625,2.8076171875
73008,-0.0262451171875,-0.0625,0.9920654296875,2.25830078125,2.0751953125,2.99072265625
73017,-0.0281982421875,-0.064697265625,0.994384765625,2.0751953125,2.25830078125,2.99072265625
73025,-0.0301513671875,-0.0675048828125,0.9981689453125,2.0751953125,2.3193359375,2.8076171875
73034,-0.0303955078125,-0.069580078125,0.99951171875,2.0751953125,2.38037109375,2.86865234375
73042,-0.0313720703125,-0.068359375,0.9970703125,2.01416015625,2.38037109375,2.9296875
73051,-0.02978515625,-0.0689697265625,0.997314453125,2.25830078125,2.25830078125,3.11279296875
73059,-0.0294189453125,-0.06640625,0.99267578125,2.197265625,2.13623046875,3.173828125
73068,-0.0281982421875,-0.067138671875,0.99267578125,1.89208984375,2.197265625,3.0517578125
73076,-0.0311279296875,-0.069580078125,0.999755859375,1.953125,2.197265625,2.9296875
